Date,Canada
2020-01-22,0
2020-01-23,2
2020-01-24,3
2020-01-25,3
2020-01-26,3
2020-01-27,3
2020-01-28,4
2020-01-29,4
2020-01-30,4
2020-01-31,4
2020-02-01,4
2020-02-02,4
2020-02-03,4
2020-02-04,5
2020-02-05,6
2020-02-06,6
2020-02-07,8
2020-02-08,8
2020-02-09,8
2020-02-10,9
2020-02-11,9
2020-02-12,9
2020-02-13,9
2020-02-14,9
2020-02-15,9
2020-02-16,9
2020-02-17,10
2020-02-18,10
2020-02-19,10
2020-02-20,11
2020-02-21,13
2020-02-22,14
2020-02-23,15
2020-02-24,16
2020-02-25,19
2020-02-26,20
2020-02-27,22
2020-02-28,28
2020-02-29,33
2020-03-01,38
2020-03-02,45
2020-03-03,51
2020-03-04,59
2020-03-05,71
2020-03-06,90
2020-03-07,98
2020-03-08,120
2020-03-09,144
2020-03-10,165
2020-03-11,228
2020-03-12,289
2020-03-13,386
2020-03-14,453
2020-03-15,549
2020-03-16,700
2020-03-17,854
2020-03-18,1097
2020-03-19,1349
2020-03-20,1692
2020-03-21,2195
2020-03-22,2651
2020-03-23,3297
2020-03-24,3996
2020-03-25,4569
2020-03-26,5511
2020-03-27,6380
2020-03-28,7310
2020-03-29,8246
2020-03-30,9478
2020-03-31,10711
2020-04-01,12023
2020-04-02,13742
2020-04-03,15084
2020-04-04,16410
2020-04-05,17599
2020-04-06,19100
2020-04-07,20488
2020-04-08,21720
2020-04-09,23100
2020-04-10,24248
2020-04-11,25624
2020-04-12,26966
2020-04-13,28763
2020-04-14,30452
2020-04-15,32199
2020-04-16,33965
2020-04-17,36091
2020-04-18,37618
2020-04-19,39318
2020-04-20,41030
2020-04-21,42620
2020-04-22,44465
2020-04-23,46274
2020-04-24,47914
2020-04-25,49496
2020-04-26,50707
2020-04-27,52363
2020-04-28,53886
2020-04-29,55575
2020-04-30,57214
2020-05-01,59025
2020-05-02,60381
2020-05-03,61640
2020-05-04,63016
2020-05-05,64411
2020-05-06,65927
2020-05-07,67199
2020-05-08,68399
2020-05-09,69545
2020-05-10,70583
2020-05-11,71607
2020-05-12,72724
2020-05-13,73951
2020-05-14,75061
2020-05-15,76331
2020-05-16,77486
2020-05-17,78694
2020-05-18,79780
2020-05-19,80782
2020-05-20,82038
2020-05-21,83153
2020-05-22,84243
2020-05-23,85150
2020-05-24,86103
2020-05-25,87067
2020-05-26,87834
2020-05-27,88719
2020-05-28,89506
2020-05-29,90575
2020-05-30,91337
2020-05-31,92067
2020-06-01,92863
2020-06-02,93490
2020-06-03,94172
2020-06-04,94754
2020-06-05,95281
2020-06-06,95805
2020-06-07,96217
2020-06-08,96668
2020-06-09,97102
2020-06-10,97592
2020-06-11,98004
2020-06-12,98465
2020-06-13,98806
2020-06-14,99108
2020-06-15,99485
2020-06-16,99844
2020-06-17,100232
2020-06-18,100638
2020-06-19,101026
2020-06-20,101341
2020-06-21,101649
2020-06-22,102004
2020-06-23,102322
2020-06-24,102642
2020-06-25,102936
2020-06-26,103263
2020-06-27,103665
2020-06-28,103978
2020-06-29,104274
2020-06-30,104608
2020-07-01,104830
2020-07-02,105179
2020-07-03,105497
2020-07-04,105725
2020-07-05,105882
2020-07-06,106234
2020-07-07,106547
2020-07-08,106868
2020-07-09,107202
2020-07-10,107550
2020-07-11,107790
2020-07-12,108004
2020-07-13,108546
2020-07-14,108972
2020-07-15,109378
2020-07-16,109860
2020-07-17,110389
2020-07-18,110773
2020-07-19,111026
2020-07-20,111821
2020-07-21,112281
2020-07-22,112663
2020-07-23,113399
2020-07-24,113836
2020-07-25,114172
2020-07-26,114479
2020-07-27,115110
2020-07-28,115487
2020-07-29,115988
2020-07-30,116434
2020-07-31,116886
2020-08-01,117140
2020-08-02,117324
2020-08-03,117591
2020-08-04,118280
2020-08-05,118638
2020-08-06,118971
2020-08-07,119413
2020-08-08,119652
2020-08-09,119875
2020-08-10,120458
2020-08-11,120820
2020-08-12,121153
2020-08-13,121647
2020-08-14,122059
2020-08-15,122269
2020-08-16,122444
2020-08-17,122648
2020-08-18,123551
2020-08-19,123906
2020-08-20,124152
2020-08-21,124857
2020-08-22,125060
2020-08-23,125323
2020-08-24,126064
2020-08-25,126435
2020-08-26,126919
2020-08-27,127394
2020-08-28,127956
2020-08-29,128283
2020-08-30,128561
2020-08-31,129594
2020-09-01,130131
2020-09-02,130698
2020-09-03,131350
2020-09-04,131988
2020-09-05,132368
2020-09-06,132799
2020-09-07,133216
2020-09-08,134694
2020-09-09,135200
2020-09-10,136182
2020-09-11,136997
2020-09-12,137636
2020-09-13,138212
2020-09-14,139541
2020-09-15,140471
2020-09-16,141475
2020-09-17,142590
2020-09-18,143871
2020-09-19,144837
2020-09-20,145771
2020-09-21,147451
2020-09-22,148664
2020-09-23,150089
2020-09-24,151519
2020-09-25,153313
2020-09-26,154946
2020-09-27,156404
2020-09-28,158607
2020-09-29,160539
2020-09-30,162560
2020-10-01,164444
2020-10-02,166611
2020-10-03,168372
2020-10-04,170033
2020-10-05,172452
2020-10-06,174611
2020-10-07,176719
2020-10-08,179121
2020-10-09,181576
2020-10-10,183330
2020-10-11,185227
2020-10-12,186752
2020-10-13,190222
2020-10-14,192761
2020-10-15,195254
2020-10-16,197694
2020-10-17,199477
2020-10-18,201410
2020-10-19,204551
2020-10-20,207029
2020-10-21,209687
2020-10-22,212235
2020-10-23,215340
2020-10-24,217354
2020-10-25,219284
2020-10-26,223514
2020-10-27,226263
2020-10-28,229139
2020-10-29,232095
2020-10-30,235522
2020-10-31,237844
2020-11-01,240361
2020-11-02,243665
2020-11-03,248386
2020-11-04,251245
2020-11-05,255285
2020-11-06,260094
2020-11-07,264324
2020-11-08,268276
2020-11-09,273167
2020-11-10,277808
2020-11-11,281928
2020-11-12,287419
2020-11-13,292283
2020-11-14,296568
2020-11-15,300673
2020-11-16,306491
2020-11-17,310914
2020-11-18,315628
2020-11-19,320643
2020-11-20,325716
2020-11-21,330545
2020-11-22,335179
2020-11-23,341951
2020-11-24,347381
2020-11-25,353026
2020-11-26,358888
2020-11-27,364757
2020-11-28,370341
2020-11-29,375794
2020-11-30,383468
2020-12-01,389268
2020-12-02,395636
2020-12-03,402165
2020-12-04,408988
2020-12-05,415171
2020-12-06,421102
2020-12-07,428917
2020-12-08,435178
2020-12-09,441542
2020-12-10,448106
2020-12-11,455124
2020-12-12,461298
2020-12-13,467290
2020-12-14,475835
2020-12-15,482187
2020-12-16,489005
2020-12-17,496390
2020-12-18,503584
2020-12-19,509757
2020-12-20,515826
2020-12-21,523454
2020-12-22,529978
2020-12-23,536667
2020-12-24,543020
2020-12-25,548944
2020-12-26,554321
2020-12-27,559865
2020-12-28,566135
2020-12-29,575540
2020-12-30,583254
2020-12-31,590249
2021-01-01,596582
2021-01-02,602396
