Date,cases
2020-01-22,0
2020-01-23,2
2020-01-24,2
2020-01-25,5
2020-01-26,8
2020-01-27,8
2020-01-28,8
2020-01-29,10
2020-01-30,10
2020-01-31,12
2020-02-01,13
2020-02-02,15
2020-02-03,15
2020-02-04,17
2020-02-05,21
2020-02-06,24
2020-02-07,25
2020-02-08,26
2020-02-09,29
2020-02-10,38
2020-02-11,49
2020-02-12,50
2020-02-13,53
2020-02-14,56
2020-02-15,56
2020-02-16,57
2020-02-17,60
2020-02-18,62
2020-02-19,63
2020-02-20,68
2020-02-21,68
2020-02-22,69
2020-02-23,74
2020-02-24,79
2020-02-25,84
2020-02-26,91
2020-02-27,92
2020-02-28,94
2020-02-29,95
2020-03-01,96
2020-03-02,100
2020-03-03,100
2020-03-04,105
2020-03-05,105
2020-03-06,107
2020-03-07,108
2020-03-08,114
2020-03-09,115
2020-03-10,120
2020-03-11,126
2020-03-12,129
2020-03-13,134
2020-03-14,140
2020-03-15,145
2020-03-16,155
2020-03-17,162
2020-03-18,181
2020-03-19,208
2020-03-20,256
2020-03-21,273
2020-03-22,317
2020-03-23,351
2020-03-24,382
2020-03-25,407
2020-03-26,452
2020-03-27,494
2020-03-28,526
2020-03-29,577
2020-03-30,623
2020-03-31,680
2020-04-01,737
2020-04-02,784
2020-04-03,831
2020-04-04,853
2020-04-05,882
2020-04-06,914
2020-04-07,935
2020-04-08,960
2020-04-09,973
2020-04-10,989
2020-04-11,1000
2020-04-12,1004
2020-04-13,1009
2020-04-14,1012
2020-04-15,1016
2020-04-16,1017
2020-04-17,1021
2020-04-18,1023
2020-04-19,1025
2020-04-20,1025
2020-04-21,1029
2020-04-22,1033
2020-04-23,1035
2020-04-24,1035
2020-04-25,1037
2020-04-26,1037
2020-04-27,1037
2020-04-28,1037
2020-04-29,1037
2020-04-30,1037
2020-05-01,1039
2020-05-02,1039
2020-05-03,1039
2020-05-04,1040
2020-05-05,1040
2020-05-06,1040
2020-05-07,1044
2020-05-08,1044
2020-05-09,1044
2020-05-10,1047
2020-05-11,1047
2020-05-12,1047
2020-05-13,1050
2020-05-14,1051
2020-05-15,1052
2020-05-16,1052
2020-05-17,1055
2020-05-18,1055
2020-05-19,1055
2020-05-20,1055
2020-05-21,1063
2020-05-22,1065
2020-05-23,1065
2020-05-24,1065
2020-05-25,1065
2020-05-26,1065
2020-05-27,1066
2020-05-28,1066
2020-05-29,1079
2020-05-30,1082
2020-05-31,1084
2020-06-01,1087
2020-06-02,1093
2020-06-03,1093
2020-06-04,1099
2020-06-05,1102
2020-06-06,1105
2020-06-07,1106
2020-06-08,1107
2020-06-09,1107
2020-06-10,1107
2020-06-11,1107
2020-06-12,1108
2020-06-13,1109
2020-06-14,1109
2020-06-15,1112
2020-06-16,1112
2020-06-17,1120
2020-06-18,1124
2020-06-19,1127
2020-06-20,1128
2020-06-21,1131
2020-06-22,1161
2020-06-23,1177
2020-06-24,1179
2020-06-25,1193
2020-06-26,1196
2020-06-27,1197
2020-06-28,1199
2020-06-29,1203
2020-06-30,1205
2020-07-01,1233
2020-07-02,1242
2020-07-03,1247
2020-07-04,1258
2020-07-05,1268
2020-07-06,1285
2020-07-07,1299
2020-07-08,1323
2020-07-09,1365
2020-07-10,1403
2020-07-11,1431
2020-07-12,1469
2020-07-13,1521
2020-07-14,1569
2020-07-15,1588
2020-07-16,1655
2020-07-17,1713
2020-07-18,1777
2020-07-19,1885
2020-07-20,1958
2020-07-21,2018
2020-07-22,2131
2020-07-23,2249
2020-07-24,2372
2020-07-25,2505
2020-07-26,2633
2020-07-27,2778
2020-07-28,2884
2020-07-29,3002
2020-07-30,3151
2020-07-31,3272
2020-08-01,3396
2020-08-02,3511
2020-08-03,3589
2020-08-04,3669
2020-08-05,3754
2020-08-06,3849
2020-08-07,3938
2020-08-08,4007
2020-08-09,4079
2020-08-10,4148
2020-08-11,4181
2020-08-12,4243
2020-08-13,4312
2020-08-14,4360
2020-08-15,4406
2020-08-16,4480
2020-08-17,4524
2020-08-18,4560
2020-08-19,4586
2020-08-20,4604
2020-08-21,4631
2020-08-22,4657
2020-08-23,4682
2020-08-24,4691
2020-08-25,4710
2020-08-26,4734
2020-08-27,4755
2020-08-28,4768
2020-08-29,4786
2020-08-30,4801
2020-08-31,4810
2020-09-01,4822
2020-09-02,4830
2020-09-03,4838
2020-09-04,4850
2020-09-05,4857
2020-09-06,4878
2020-09-07,4889
2020-09-08,4895
2020-09-09,4901
2020-09-10,4913
2020-09-11,4925
2020-09-12,4938
2020-09-13,4957
2020-09-14,4971
2020-09-15,4975
2020-09-16,4984
2020-09-17,4993
2020-09-18,4996
2020-09-19,5009
2020-09-20,5032
2020-09-21,5038
2020-09-22,5046
2020-09-23,5049
2020-09-24,5056
2020-09-25,5058
2020-09-26,5059
2020-09-27,5065
2020-09-28,5075
2020-09-29,5079
2020-09-30,5087
2020-10-01,5097
2020-10-02,5104
2020-10-03,5108
2020-10-04,5113
2020-10-05,5124
2020-10-06,5132
2020-10-07,5143
2020-10-08,5161
2020-10-09,5169
2020-10-10,5175
2020-10-11,5182
2020-10-12,5193
2020-10-13,5201
2020-10-14,5201
2020-10-15,5213
2020-10-16,5220
2020-10-17,5237
2020-10-18,5241
2020-10-19,5256
2020-10-20,5261
2020-10-21,5269
2020-10-22,5280
2020-10-23,5284
2020-10-24,5289
2020-10-25,5295
2020-10-26,5303
2020-10-27,5308
2020-10-28,5310
2020-10-29,5313
2020-10-30,5320
2020-10-31,5323
2020-11-01,5330
2020-11-02,5336
2020-11-03,5345
2020-11-04,5348
2020-11-05,5355
2020-11-06,5361
2020-11-07,5364
2020-11-08,5374
2020-11-09,5380
2020-11-10,5389
2020-11-11,5407
2020-11-12,5430
2020-11-13,5436
2020-11-14,5444
2020-11-15,5458
2020-11-16,5466
2020-11-17,5470
2020-11-18,5479
2020-11-19,5491
2020-11-20,5517
2020-11-21,5560
2020-11-22,5628
2020-11-23,5701
2020-11-24,5781
2020-11-25,5866
2020-11-26,5947
2020-11-27,6039
2020-11-28,6123
2020-11-29,6238
2020-11-30,6314
2020-12-01,6396
2020-12-02,6499
2020-12-03,6589
2020-12-04,6701
2020-12-05,6802
2020-12-06,6897
2020-12-07,6975
2020-12-08,7075
2020-12-09,7179
2020-12-10,7291
2020-12-11,7377
2020-12-12,7446
2020-12-13,7541
2020-12-14,7623
2020-12-15,7721
2020-12-16,7803
2020-12-17,7899
2020-12-18,7969
2020-12-19,8078
2020-12-20,8152
2020-12-21,8237
2020-12-22,8300
2020-12-23,8353
2020-12-24,8424
2020-12-25,8481
2020-12-26,8540
2020-12-27,8610
2020-12-28,8671
2020-12-29,8724
2020-12-30,8778
2020-12-31,8846
2021-01-01,8888
2021-01-02,8923
2021-01-03,8964
2021-01-04,9017
2021-01-05,9049
