Date,Japan
2020-01-22,2
2020-01-23,2
2020-01-24,2
2020-01-25,2
2020-01-26,4
2020-01-27,4
2020-01-28,7
2020-01-29,7
2020-01-30,11
2020-01-31,15
2020-02-01,20
2020-02-02,20
2020-02-03,20
2020-02-04,22
2020-02-05,23
2020-02-06,23
2020-02-07,23
2020-02-08,24
2020-02-09,24
2020-02-10,26
2020-02-11,27
2020-02-12,28
2020-02-13,33
2020-02-14,43
2020-02-15,54
2020-02-16,60
2020-02-17,67
2020-02-18,79
2020-02-19,85
2020-02-20,95
2020-02-21,112
2020-02-22,137
2020-02-23,149
2020-02-24,160
2020-02-25,173
2020-02-26,192
2020-02-27,218
2020-02-28,236
2020-02-29,245
2020-03-01,259
2020-03-02,278
2020-03-03,298
2020-03-04,333
2020-03-05,365
2020-03-06,420
2020-03-07,466
2020-03-08,499
2020-03-09,527
2020-03-10,585
2020-03-11,640
2020-03-12,696
2020-03-13,733
2020-03-14,795
2020-03-15,826
2020-03-16,843
2020-03-17,893
2020-03-18,928
2020-03-19,968
2020-03-20,1022
2020-03-21,1059
2020-03-22,1104
2020-03-23,1144
2020-03-24,1217
2020-03-25,1314
2020-03-26,1416
2020-03-27,1530
2020-03-28,1728
2020-03-29,1907
2020-03-30,2001
2020-03-31,2255
2020-04-01,2535
2020-04-02,2818
2020-04-03,3154
2020-04-04,3525
2020-04-05,3876
2020-04-06,4110
2020-04-07,4485
2020-04-08,5020
2020-04-09,5614
2020-04-10,6250
2020-04-11,6951
2020-04-12,7473
2020-04-13,7773
2020-04-14,8277
2020-04-15,8835
2020-04-16,9398
2020-04-17,9958
2020-04-18,10548
2020-04-19,10914
2020-04-20,11258
2020-04-21,11641
2020-04-22,12037
2020-04-23,12469
2020-04-24,12854
2020-04-25,13186
2020-04-26,13405
2020-04-27,13576
2020-04-28,13860
2020-04-29,14076
2020-04-30,14284
2020-05-01,14558
2020-05-02,14861
2020-05-03,15061
2020-05-04,15229
2020-05-05,15354
2020-05-06,15455
2020-05-07,15553
2020-05-08,15640
2020-05-09,15755
2020-05-10,15824
2020-05-11,15861
2020-05-12,15948
2020-05-13,15998
2020-05-14,16096
2020-05-15,16148
2020-05-16,16202
2020-05-17,16226
2020-05-18,16259
2020-05-19,16287
2020-05-20,16321
2020-05-21,16362
2020-05-22,16385
2020-05-23,16410
2020-05-24,16451
2020-05-25,16472
2020-05-26,16502
2020-05-27,16528
2020-05-28,16588
2020-05-29,16661
2020-05-30,16706
2020-05-31,16741
2020-06-01,16778
2020-06-02,16829
2020-06-03,16858
2020-06-04,16902
2020-06-05,16949
2020-06-06,16995
2020-06-07,17033
2020-06-08,17054
2020-06-09,17099
2020-06-10,17135
2020-06-11,17179
2020-06-12,17240
2020-06-13,17285
2020-06-14,17360
2020-06-15,17432
2020-06-16,17474
2020-06-17,17520
2020-06-18,17589
2020-06-19,17650
2020-06-20,17714
2020-06-21,17769
2020-06-22,17812
2020-06-23,17869
2020-06-24,17965
2020-06-25,18047
2020-06-26,18152
2020-06-27,18244
2020-06-28,18357
2020-06-29,18467
2020-06-30,18605
2020-07-01,18732
2020-07-02,18926
2020-07-03,19176
2020-07-04,19450
2020-07-05,19658
2020-07-06,19834
2020-07-07,20042
2020-07-08,20249
2020-07-09,20604
2020-07-10,21034
2020-07-11,21420
2020-07-12,21827
2020-07-13,22086
2020-07-14,22419
2020-07-15,22869
2020-07-16,23493
2020-07-17,24090
2020-07-18,24751
2020-07-19,25262
2020-07-20,25680
2020-07-21,26312
2020-07-22,27107
2020-07-23,28088
2020-07-24,28867
2020-07-25,29668
2020-07-26,30507
2020-07-27,31107
2020-07-28,32092
2020-07-29,33362
2020-07-30,34670
2020-07-31,36256
2020-08-01,37790
2020-08-02,39121
2020-08-03,40086
2020-08-04,41332
2020-08-05,42687
2020-08-06,44172
2020-08-07,45777
2020-08-08,47348
2020-08-09,48789
2020-08-10,49627
2020-08-11,50324
2020-08-12,51303
2020-08-13,52475
2020-08-14,53831
2020-08-15,55062
2020-08-16,56079
2020-08-17,56726
2020-08-18,57642
2020-08-19,58712
2020-08-20,59890
2020-08-21,60927
2020-08-22,61911
2020-08-23,62655
2020-08-24,63148
2020-08-25,63863
2020-08-26,64766
2020-08-27,65629
2020-08-28,66505
2020-08-29,67349
2020-08-30,67949
2020-08-31,68385
2020-09-01,69018
2020-09-02,69610
2020-09-03,70267
2020-09-04,70854
2020-09-05,71452
2020-09-06,71903
2020-09-07,72194
2020-09-08,72703
2020-09-09,73211
2020-09-10,73923
2020-09-11,74565
2020-09-12,75211
2020-09-13,75650
2020-09-14,75916
2020-09-15,76447
2020-09-16,76998
2020-09-17,77487
2020-09-18,78059
2020-09-19,78655
2020-09-20,79135
2020-09-21,79445
2020-09-22,79776
2020-09-23,79995
2020-09-24,80477
2020-09-25,81050
2020-09-26,81689
2020-09-27,82174
2020-09-28,82476
2020-09-29,83003
2020-09-30,83579
2020-10-01,84212
2020-10-02,84754
2020-10-03,85328
2020-10-04,85728
2020-10-05,86007
2020-10-06,86507
2020-10-07,87013
2020-10-08,87640
2020-10-09,88243
2020-10-10,88921
2020-10-11,89357
2020-10-12,89635
2020-10-13,90133
2020-10-14,90685
2020-10-15,91393
2020-10-16,92032
2020-10-17,92655
2020-10-18,93085
2020-10-19,93401
2020-10-20,93882
2020-10-21,94497
2020-10-22,95113
2020-10-23,95858
2020-10-24,96584
2020-10-25,97077
2020-10-26,97487
2020-10-27,98133
2020-10-28,98864
2020-10-29,99672
2020-10-30,100446
2020-10-31,101323
2020-11-01,101936
2020-11-02,102423
2020-11-03,103288
2020-11-04,103912
2020-11-05,104960
2020-11-06,106103
2020-11-07,107436
2020-11-08,108386
2020-11-09,109166
2020-11-10,110449
2020-11-11,111993
2020-11-12,113652
2020-11-13,115356
2020-11-14,117091
2020-11-15,118530
2020-11-16,119480
2020-11-17,121180
2020-11-18,123374
2020-11-19,125759
2020-11-20,128180
2020-11-21,130772
2020-11-22,132931
2020-11-23,134449
2020-11-24,135678
2020-11-25,137620
2020-11-26,140120
2020-11-27,142651
2020-11-28,145326
2020-11-29,147388
2020-11-30,148824
2020-12-01,150857
2020-12-02,153289
2020-12-03,155806
2020-12-04,158258
2020-12-05,160766
2020-12-06,162804
2020-12-07,164335
2020-12-08,166511
2020-12-09,169321
2020-12-10,172290
2020-12-11,175085
2020-12-12,178122
2020-12-13,180505
2020-12-14,182186
2020-12-15,184612
2020-12-16,187608
2020-12-17,190817
2020-12-18,193654
2020-12-19,196643
2020-12-20,199134
2020-12-21,200945
2020-12-22,203639
2020-12-23,206915
2020-12-24,210661
2020-12-25,214493
2020-12-26,218378
2020-12-27,221322
2020-12-28,223719
2020-12-29,227346
2020-12-30,231217
2020-12-31,235749
2021-01-01,239005
2021-01-02,242076
2021-01-03,245242
2021-01-04,248585
2021-01-05,253534
2021-01-06,259583
2021-01-07,267225
2021-01-08,275182
2021-01-09,283036
2021-01-10,289144
2021-01-11,294050
2021-01-12,298647
2021-01-13,304564
2021-01-14,311220
2021-01-15,318393
2021-01-16,325435
2021-01-17,331195
2021-01-18,336132
2021-01-19,341467
2021-01-20,347029
2021-01-21,352693
2021-01-22,357750
2021-01-23,362476
2021-01-24,366466
2021-01-25,369229
2021-01-26,373082
2021-01-27,377056
2021-01-28,381187
2021-01-29,384725
2021-01-30,388067
2021-01-31,390740
2021-02-01,392533
2021-02-02,394857
2021-02-03,397491
2021-02-04,400069
2021-02-05,402439
2021-02-06,404716
2021-02-07,406346
2021-02-08,407563
2021-02-09,409131
2021-02-10,411017
2021-02-11,412707
2021-02-12,414007
2021-02-13,415367
2021-02-14,416729
2021-02-15,417694
2021-02-16,419002
2021-02-17,420450
2021-02-18,421986
2021-02-19,423287
2021-02-20,424520
2021-02-21,425552
