Date,United Kingdom
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,2
2020-02-01,2
2020-02-02,2
2020-02-03,8
2020-02-04,8
2020-02-05,9
2020-02-06,9
2020-02-07,9
2020-02-08,13
2020-02-09,14
2020-02-10,14
2020-02-11,15
2020-02-12,16
2020-02-13,17
2020-02-14,18
2020-02-15,18
2020-02-16,18
2020-02-17,19
2020-02-18,19
2020-02-19,20
2020-02-20,22
2020-02-21,23
2020-02-22,23
2020-02-23,28
2020-02-24,30
2020-02-25,34
2020-02-26,37
2020-02-27,44
2020-02-28,56
2020-02-29,61
2020-03-01,94
2020-03-02,134
2020-03-03,189
2020-03-04,246
2020-03-05,295
2020-03-06,374
2020-03-07,429
2020-03-08,483
2020-03-09,630
2020-03-10,888
2020-03-11,1299
2020-03-12,1788
2020-03-13,2268
2020-03-14,2632
2020-03-15,3074
2020-03-16,3686
2020-03-17,4456
2020-03-18,5462
2020-03-19,6523
2020-03-20,7778
2020-03-21,8975
2020-03-22,10398
2020-03-23,12747
2020-03-24,15139
2020-03-25,17847
2020-03-26,20958
2020-03-27,24203
2020-03-28,27055
2020-03-29,29949
2020-03-30,34251
2020-03-31,38788
2020-04-01,43755
2020-04-02,48694
2020-04-03,53645
2020-04-04,57739
2020-04-05,61359
2020-04-06,66715
2020-04-07,72199
2020-04-08,77369
2020-04-09,82281
2020-04-10,86620
2020-04-11,90248
2020-04-12,93784
2020-04-13,97993
2020-04-14,102352
2020-04-15,107454
2020-04-16,112792
2020-04-17,117777
2020-04-18,122508
2020-04-19,126375
2020-04-20,131252
2020-04-21,136023
2020-04-22,141529
2020-04-23,146682
2020-04-24,151662
2020-04-25,155445
2020-04-26,158920
2020-04-27,163627
2020-04-28,168351
2020-04-29,173796
2020-04-30,178765
2020-05-01,183500
2020-05-02,186726
2020-05-03,189702
2020-05-04,193086
2020-05-05,196775
2020-05-06,200612
2020-05-07,204383
2020-05-08,207435
2020-05-09,209585
2020-05-10,211907
2020-05-11,215495
2020-05-12,218892
2020-05-13,222191
2020-05-14,224809
2020-05-15,227330
2020-05-16,229397
2020-05-17,231223
2020-05-18,233799
2020-05-19,236862
2020-05-20,239572
2020-05-21,242126
2020-05-22,244170
2020-05-23,245678
2020-05-24,247033
2020-05-25,248645
2020-05-26,250304
2020-05-27,252113
2020-05-28,253849
2020-05-29,255358
2020-05-30,256465
2020-05-31,257535
2020-06-01,258979
2020-06-02,260449
2020-06-03,261797
2020-06-04,263035
2020-06-05,264146
2020-06-06,264938
2020-06-07,265656
2020-06-08,266751
2020-06-09,267909
2020-06-10,269097
2020-06-11,270104
2020-06-12,271158
2020-06-13,272046
2020-06-14,272853
2020-06-15,273881
2020-06-16,274964
2020-06-17,275964
2020-06-18,276984
2020-06-19,277970
2020-06-20,278636
2020-06-21,279260
2020-06-22,280152
2020-06-23,281034
2020-06-24,281810
2020-06-25,282507
2020-06-26,283148
2020-06-27,283782
2020-06-28,284189
2020-06-29,284809
2020-06-30,285213
2020-07-01,285276
2020-07-02,285282
2020-07-03,285784
2020-07-04,286409
2020-07-05,286928
2020-07-06,287281
2020-07-07,287865
2020-07-08,288507
2020-07-09,289150
2020-07-10,289674
2020-07-11,290500
2020-07-12,291150
2020-07-13,291683
2020-07-14,292927
2020-07-15,293465
2020-07-16,294110
2020-07-17,294797
2020-07-18,295628
2020-07-19,296354
2020-07-20,296940
2020-07-21,297385
2020-07-22,297948
2020-07-23,298727
2020-07-24,299495
2020-07-25,300265
2020-07-26,301016
2020-07-27,301704
2020-07-28,302254
2020-07-29,303058
2020-07-30,303906
2020-07-31,304789
2020-08-01,305558
2020-08-02,306305
2020-08-03,307244
