Date,cases
2020-01-22,1
2020-01-23,1
2020-01-24,2
2020-01-25,2
2020-01-26,5
2020-01-27,5
2020-01-28,5
2020-01-29,6
2020-01-30,6
2020-01-31,8
2020-02-01,8
2020-02-02,8
2020-02-03,11
2020-02-04,11
2020-02-05,11
2020-02-06,12
2020-02-07,12
2020-02-08,12
2020-02-09,12
2020-02-10,12
2020-02-11,13
2020-02-12,13
2020-02-13,14
2020-02-14,14
2020-02-15,14
2020-02-16,14
2020-02-17,15
2020-02-18,16
2020-02-19,16
2020-02-20,16
2020-02-21,16
2020-02-22,16
2020-02-23,16
2020-02-24,17
2020-02-25,18
2020-02-26,19
2020-02-27,19
2020-02-28,19
2020-02-29,26
2020-03-01,39
2020-03-02,57
2020-03-03,79
2020-03-04,113
2020-03-05,184
2020-03-06,247
2020-03-07,417
2020-03-08,538
2020-03-09,630
2020-03-10,797
2020-03-11,1156
2020-03-12,1596
2020-03-13,2222
2020-03-14,2952
2020-03-15,3234
2020-03-16,4667
2020-03-17,6450
2020-03-18,9156
2020-03-19,13663
2020-03-20,20064
2020-03-21,26056
2020-03-22,34944
2020-03-23,46096
2020-03-24,56714
2020-03-25,68841
2020-03-26,86662
2020-03-27,105253
2020-03-28,127417
2020-03-29,143544
2020-03-30,165698
2020-03-31,192079
2020-04-01,223234
2020-04-02,255513
2020-04-03,287915
2020-04-04,319752
2020-04-05,348995
2020-04-06,380783
2020-04-07,410817
2020-04-08,441876
2020-04-09,477495
2020-04-10,511772
2020-04-11,540696
2020-04-12,566996
2020-04-13,594152
2020-04-14,622467
2020-04-15,648360
2020-04-16,677980
2020-04-17,710997
2020-04-18,738405
2020-04-19,763842
2020-04-20,793950
2020-04-21,820009
2020-04-22,849893
2020-04-23,881850
2020-04-24,913798
2020-04-25,944703
2020-04-26,970663
2020-04-27,995338
2020-04-28,1019919
2020-04-29,1046779
2020-04-30,1076475
2020-05-01,1111361
2020-05-02,1138134
2020-05-03,1161871
2020-05-04,1185667
2020-05-05,1209670
2020-05-06,1234160
2020-05-07,1261894
2020-05-08,1289091
2020-05-09,1313558
2020-05-10,1332305
2020-05-11,1351357
2020-05-12,1374717
2020-05-13,1394741
2020-05-14,1420645
2020-05-15,1445458
2020-05-16,1469544
2020-05-17,1488293
2020-05-18,1510572
2020-05-19,1531056
2020-05-20,1553884
2020-05-21,1579099
2020-05-22,1602965
2020-05-23,1623148
2020-05-24,1643335
2020-05-25,1662426
2020-05-26,1681100
2020-05-27,1699838
2020-05-28,1721108
2020-05-29,1746195
2020-05-30,1769286
2020-05-31,1788181
2020-06-01,1806048
2020-06-02,1826126
2020-06-03,1845287
2020-06-04,1873208
2020-06-05,1899614
2020-06-06,1919909
2020-06-07,1937761
2020-06-08,1954658
2020-06-09,1974960
2020-06-10,1996681
2020-06-11,2018962
2020-06-12,2044514
2020-06-13,2068691
2020-06-14,2087592
2020-06-15,2108589
2020-06-16,2133122
2020-06-17,2160182
2020-06-18,2188400
2020-06-19,2219461
2020-06-20,2251274
2020-06-21,2277123
2020-06-22,2306849
2020-06-23,2345439
2020-06-24,2381696
2020-06-25,2421070
2020-06-26,2470184
2020-06-27,2510987
2020-06-28,2553903
2020-06-29,2595213
2020-06-30,2645026
2020-07-01,2694140
2020-07-02,2749063
2020-07-03,2800572
2020-07-04,2846546
2020-07-05,2900280
2020-07-06,2943422
2020-07-07,3000651
2020-07-08,3060861
2020-07-09,3120440
2020-07-10,3189230
2020-07-11,3249680
2020-07-12,3309862
2020-07-13,3369365
2020-07-14,3435016
2020-07-15,3500999
2020-07-16,3571819
2020-07-17,3638314
2020-07-18,3702623
2020-07-19,3761577
2020-07-20,3822252
2020-07-21,3890370
2020-07-22,3957950
2020-07-23,4025863
2020-07-24,4101024
2020-07-25,4165207
2020-07-26,4221077
2020-07-27,4280720
2020-07-28,4345619
2020-07-29,4409755
2020-07-30,4478964
2020-07-31,4543573
2020-08-01,4601225
2020-08-02,4648264
2020-08-03,4689921
2020-08-04,4751611
2020-08-05,4805959
2020-08-06,4866064
2020-08-07,4926625
2020-08-08,4990647
2020-08-09,5044886
2020-08-10,5096490
2020-08-11,5153531
2020-08-12,5208655
2020-08-13,5260370
2020-08-14,5330525
2020-08-15,5382900
2020-08-16,5417654
2020-08-17,5455433
2020-08-18,5500284
2020-08-19,5546080
2020-08-20,5591246
2020-08-21,5638812
2020-08-22,5684613
2020-08-23,5716540
2020-08-24,5750353
2020-08-25,5793021
2020-08-26,5835011
2020-08-27,5885556
2020-08-28,5931966
2020-08-29,5975220
2020-08-30,6009455
2020-08-31,6042737
2020-09-01,6084632
2020-09-02,6124498
2020-09-03,6169660
2020-09-04,6217985
2020-09-05,6261676
2020-09-06,6290923
2020-09-07,6315582
2020-09-08,6342162
2020-09-09,6375712
2020-09-10,6415253
2020-09-11,6459671
2020-09-12,6505273
2020-09-13,6545739
2020-09-14,6578330
2020-09-15,6615476
2020-09-16,6653643
2020-09-17,6698846
2020-09-18,6749162
2020-09-19,6794963
2020-09-20,6836640
2020-09-21,6868711
2020-09-22,6906774
2020-09-23,6947899
2020-09-24,6996822
2020-09-25,7043895
2020-09-26,7087600
2020-09-27,7121467
2020-09-28,7159046
2020-09-29,7201053
2020-09-30,7239764
2020-10-01,7285913
2020-10-02,7339391
2020-10-03,7388701
2020-10-04,7421942
2020-10-05,7459111
2020-10-06,7503670
2020-10-07,7552783
2020-10-08,7610562
2020-10-09,7665695
2020-10-10,7721017
2020-10-11,7768084
2020-10-12,7810147
2020-10-13,7860117
2020-10-14,7918564
2020-10-15,7981926
2020-10-16,8052195
2020-10-17,8107066
2020-10-18,8159301
2020-10-19,8226793
2020-10-20,8289041
2020-10-21,8349207
2020-10-22,8428823
2020-10-23,8510406
2020-10-24,8588870
2020-10-25,8650160
2020-10-26,8714344
2020-10-27,8791638
2020-10-28,8877664
2020-10-29,8968808
2020-10-30,9068554
2020-10-31,9156179
2020-11-01,9234168
2020-11-02,9315738
2020-11-03,9440498
2020-11-04,9540303
2020-11-05,9668111
2020-11-06,9795269
2020-11-07,9922817
2020-11-08,10042430
2020-11-09,10159447
2020-11-10,10295747
2020-11-11,10442682
2020-11-12,10601769
2020-11-13,10780489
2020-11-14,10945929
2020-11-15,11085476
2020-11-16,11238497
2020-11-17,11402754
2020-11-18,11574500
2020-11-19,11766704
2020-11-20,11968222
2020-11-21,12148438
2020-11-22,12295409
2020-11-23,12476644
2020-11-24,12649961
2020-11-25,12830293
2020-11-26,12947727
2020-11-27,13162358
2020-11-28,13330570
2020-11-29,13470988
2020-11-30,13626324
2020-12-01,13823237
2020-12-02,14018737
2020-12-03,14239140
2020-12-04,14474790
2020-12-05,14696867
2020-12-06,14876105
2020-12-07,15071633
2020-12-08,15298176
2020-12-09,15516357
2020-12-10,15753334
2020-12-11,15992515
2020-12-12,16217147
2020-12-13,16408811
2020-12-14,16618415
2020-12-15,16845137
2020-12-16,17079807
2020-12-17,17319964
2020-12-18,17568281
2020-12-19,17774123
2020-12-20,17961470
2020-12-21,18158290
2020-12-22,18364184
2020-12-23,18585551
2020-12-24,18798442
2020-12-25,18925760
2020-12-26,19143220
2020-12-27,19279174
2020-12-28,19452596
2020-12-29,19658440
2020-12-30,19876806
2020-12-31,20191989
2021-01-01,20371033
2021-01-02,20643258
2021-01-03,20846608
2021-01-04,21032204
2021-01-05,21264999
2021-01-06,21524822
2021-01-07,21811151
2021-01-08,22115322
2021-01-09,22380124
2021-01-10,22591004
2021-01-11,22794875
2021-01-12,23016601
2021-01-13,23245868
2021-01-14,23481471
2021-01-15,23726583
2021-01-16,23944221
2021-01-17,24120840
2021-01-18,24261584
2021-01-19,24418511
2021-01-20,24605923
2021-01-21,24798478
2021-01-22,24990283
2021-01-23,25168568
2021-01-24,25308756
2021-01-25,25438273
2021-01-26,25589270
2021-01-27,25744730
2021-01-28,25911505
2021-01-29,26075352
2021-01-30,26226330
2021-01-31,26339211
2021-02-01,26464454
2021-02-02,26581442
2021-02-03,26705794
2021-02-04,26830833
2021-02-05,26961913
2021-02-06,27078735
2021-02-07,27168178
2021-02-08,27250960
2021-02-09,27346179
2021-02-10,27441359
2021-02-11,27548157
2021-02-12,27648752
2021-02-13,27739553
2021-02-14,27807855
2021-02-15,27863210
2021-02-16,27922498
2021-02-17,27991320
2021-02-18,28063912
2021-02-19,28139107
2021-02-20,28212916
2021-02-21,28268191
2021-02-22,28323630
2021-02-23,28397482
2021-02-24,28472531
2021-02-25,28549814
2021-02-26,28625254
2021-02-27,28696577
2021-02-28,28748325
2021-03-01,28798730
2021-03-02,28857142
2021-03-03,28924184
2021-03-04,28993155
2021-03-05,29061062
2021-03-06,29122125
2021-03-07,29163741
2021-03-08,29207775
2021-03-09,29263267
2021-03-10,29321033
2021-03-11,29382813
2021-03-12,29445440
2021-03-13,29502321
2021-03-14,29541607
2021-03-15,29592519
2021-03-16,29646605
2021-03-17,29705897
2021-03-18,29768292
2021-03-19,29829947
2021-03-20,29888855
2021-03-21,29924232
2021-03-22,29971545
2021-03-23,30024425
2021-03-24,30112119
2021-03-25,30179762
2021-03-26,30256169
2021-03-27,30320326
2021-03-28,30366638
2021-03-29,30432325
2021-03-30,30494045
2021-03-31,30563583
2021-04-01,30640483
2021-04-02,30714550
2021-04-03,30779492
2021-04-04,30817399
2021-04-05,30884310
