Date,Canada
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,1
2020-03-09,2
2020-03-10,2
2020-03-11,2
2020-03-12,3
2020-03-13,5
2020-03-14,5
2020-03-15,5
2020-03-16,9
2020-03-17,12
2020-03-18,19
2020-03-19,21
2020-03-20,28
2020-03-21,40
2020-03-22,46
2020-03-23,59
2020-03-24,70
2020-03-25,89
2020-03-26,110
2020-03-27,131
2020-03-28,166
2020-03-29,203
2020-03-30,244
2020-03-31,303
2020-04-01,353
2020-04-02,439
2020-04-03,555
2020-04-04,652
2020-04-05,747
2020-04-06,883
2020-04-07,1010
2020-04-08,1144
2020-04-09,1273
2020-04-10,1406
2020-04-11,1556
2020-04-12,1724
2020-04-13,1920
2020-04-14,2091
2020-04-15,2277
2020-04-16,2464
2020-04-17,2660
2020-04-18,2846
2020-04-19,3038
2020-04-20,3205
2020-04-21,3386
2020-04-22,3578
2020-04-23,3764
2020-04-24,3934
2020-04-25,4128
2020-04-26,4283
2020-04-27,4447
2020-04-28,4634
2020-04-29,4848
2020-04-30,5023
2020-05-01,5218
2020-05-02,5370
2020-05-03,5510
2020-05-04,5656
2020-05-05,5796
2020-05-06,5936
2020-05-07,6057
2020-05-08,6175
2020-05-09,6309
2020-05-10,6432
2020-05-11,6548
2020-05-12,6664
2020-05-13,6762
2020-05-14,6880
2020-05-15,7005
2020-05-16,7111
2020-05-17,7204
2020-05-18,7301
2020-05-19,7386
2020-05-20,7486
2020-05-21,7575
2020-05-22,7673
2020-05-23,7761
2020-05-24,7836
2020-05-25,7919
2020-05-26,7998
2020-05-27,8069
2020-05-28,8165
2020-05-29,8243
2020-05-30,8295
2020-05-31,8342
2020-06-01,8390
2020-06-02,8428
2020-06-03,8473
2020-06-04,8501
2020-06-05,8538
2020-06-06,8571
2020-06-07,8595
2020-06-08,8623
2020-06-09,8650
2020-06-10,8675
2020-06-11,8703
2020-06-12,8724
2020-06-13,8746
2020-06-14,8757
2020-06-15,8778
2020-06-16,8791
2020-06-17,8803
2020-06-18,8816
2020-06-19,8832
2020-06-20,8838
2020-06-21,8854
2020-06-22,8868
2020-06-23,8884
2020-06-24,8903
2020-06-25,8915
2020-06-26,8924
2020-06-27,8930
2020-06-28,8939
2020-06-29,8951
2020-06-30,8960
2020-07-01,8968
2020-07-02,8985
2020-07-03,8989
2020-07-04,8995
2020-07-05,8998
2020-07-06,9011
2020-07-07,9024
2020-07-08,9035
2020-07-09,9047
2020-07-10,9053
2020-07-11,9057
2020-07-12,9059
2020-07-13,9064
2020-07-14,9069
2020-07-15,9074
2020-07-16,9085
2020-07-17,9089
2020-07-18,9091
2020-07-19,9093
2020-07-20,9097
2020-07-21,9101
2020-07-22,9107
2020-07-23,9115
2020-07-24,9118
2020-07-25,9120
2020-07-26,9121
2020-07-27,9135
2020-07-28,9140
2020-07-29,9145
2020-07-30,9155
2020-07-31,9160
2020-08-01,9162
2020-08-02,9165
2020-08-03,9165
2020-08-04,9170
2020-08-05,9175
2020-08-06,9181
