Date,United Kingdom
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,1
2020-03-07,2
2020-03-08,2
2020-03-09,3
2020-03-10,7
2020-03-11,7
2020-03-12,9
2020-03-13,10
2020-03-14,29
2020-03-15,43
2020-03-16,66
2020-03-17,83
2020-03-18,118
2020-03-19,164
2020-03-20,196
2020-03-21,254
2020-03-22,289
2020-03-23,365
2020-03-24,513
2020-03-25,704
2020-03-26,885
2020-03-27,1174
2020-03-28,1466
2020-03-29,1678
2020-03-30,2054
2020-03-31,2457
2020-04-01,3130
2020-04-02,3787
2020-04-03,4524
2020-04-04,5281
2020-04-05,5883
2020-04-06,6452
2020-04-07,7559
2020-04-08,8590
2020-04-09,9709
2020-04-10,10832
2020-04-11,11677
2020-04-12,12334
2020-04-13,13060
2020-04-14,14137
2020-04-15,15019
2020-04-16,16059
2020-04-17,16973
2020-04-18,18083
2020-04-19,18517
2020-04-20,19091
2020-04-21,20315
2020-04-22,21171
2020-04-23,21854
2020-04-24,22872
2020-04-25,23689
2020-04-26,24053
2020-04-27,24376
2020-04-28,25346
2020-04-29,26115
2020-04-30,26750
2020-05-01,27449
2020-05-02,28036
2020-05-03,28290
2020-05-04,28564
2020-05-05,29290
2020-05-06,29937
2020-05-07,30395
2020-05-08,30975
2020-05-09,31250
2020-05-10,31467
2020-05-11,31655
2020-05-12,32270
2020-05-13,32717
2020-05-14,33071
2020-05-15,33422
2020-05-16,33833
2020-05-17,33900
2020-05-18,34046
2020-05-19,34546
2020-05-20,34874
2020-05-21,35148
2020-05-22,35440
2020-05-23,35660
2020-05-24,36039
2020-05-25,36143
2020-05-26,36274
2020-05-27,36696
2020-05-28,37039
2020-05-29,37313
2020-05-30,37467
2020-05-31,37527
2020-06-01,37613
2020-06-02,37862
2020-06-03,38116
2020-06-04,38247
2020-06-05,38505
2020-06-06,38648
2020-06-07,38702
2020-06-08,38749
2020-06-09,38944
2020-06-10,39108
2020-06-11,39184
2020-06-12,39315
2020-06-13,39422
2020-06-14,39449
2020-06-15,39478
2020-06-16,39598
2020-06-17,39708
2020-06-18,39775
2020-06-19,39859
2020-06-20,39930
2020-06-21,39962
2020-06-22,39976
2020-06-23,40070
2020-06-24,40157
2020-06-25,40256
2020-06-26,40333
2020-06-27,40373
2020-06-28,40404
2020-06-29,40425
2020-06-30,40479
2020-07-01,40576
2020-07-02,40617
2020-07-03,40666
2020-07-04,40698
2020-07-05,40717
2020-07-06,40728
2020-07-07,40782
2020-07-08,40839
2020-07-09,40870
2020-07-10,40904
2020-07-11,40921
2020-07-12,40930
2020-07-13,40940
2020-07-14,40984
2020-07-15,41010
2020-07-16,41034
2020-07-17,41060
2020-07-18,41069
2020-07-19,41080
2020-07-20,41090
2020-07-21,41115
2020-07-22,41132
2020-07-23,41141
2020-07-24,41173
2020-07-25,41188
2020-07-26,41196
2020-07-27,41199
2020-07-28,41220
2020-07-29,41254
2020-07-30,41254
2020-07-31,41274
2020-08-01,41287
2020-08-02,41292
2020-08-03,41293
2020-08-04,41311
2020-08-05,41325
