Date,cases
2020-01-22,1
2020-01-23,1
2020-01-24,1
2020-01-25,1
2020-01-26,1
2020-01-27,1
2020-01-28,1
2020-01-29,1
2020-01-30,1
2020-01-31,1
2020-02-01,1
2020-02-02,1
2020-02-03,1
2020-02-04,1
2020-02-05,1
2020-02-06,1
2020-02-07,1
2020-02-08,1
2020-02-09,1
2020-02-10,1
2020-02-11,1
2020-02-12,1
2020-02-13,1
2020-02-14,1
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,1
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,2
2020-03-01,2
2020-03-02,7
2020-03-03,8
2020-03-04,12
2020-03-05,13
2020-03-06,15
2020-03-07,18
2020-03-08,22
2020-03-09,24
2020-03-10,29
2020-03-11,34
2020-03-12,45
2020-03-13,52
2020-03-14,61
2020-03-15,72
2020-03-16,97
2020-03-17,133
2020-03-18,198
2020-03-19,273
2020-03-20,378
2020-03-21,482
2020-03-22,603
2020-03-23,790
2020-03-24,1033
2020-03-25,1366
2020-03-26,1783
2020-03-27,2305
2020-03-28,3018
2020-03-29,3573
2020-03-30,4280
2020-03-31,5359
2020-04-01,6635
2020-04-02,8142
2020-04-03,9562
2020-04-04,11165
2020-04-05,12781
2020-04-06,14523
2020-04-07,17099
2020-04-08,19249
2020-04-09,21463
2020-04-10,23649
2020-04-11,25785
2020-04-12,27674
2020-04-13,29657
2020-04-14,32132
2020-04-15,34730
2020-04-16,36913
2020-04-17,39008
2020-04-18,40954
2020-04-19,42934
2020-04-20,45179
2020-04-21,47662
2020-04-22,50128
2020-04-23,52542
2020-04-24,54711
2020-04-25,56445
2020-04-26,57850
2020-04-27,59330
2020-04-28,61571
2020-04-29,63962
2020-04-30,66154
2020-05-01,68063
2020-05-02,69804
2020-05-03,71007
2020-05-04,72365
2020-05-05,74586
2020-05-06,76905
2020-05-07,78821
2020-05-08,80593
2020-05-09,82058
2020-05-10,83059
2020-05-11,84093
2020-05-12,85682
2020-05-13,87416
2020-05-14,89197
2020-05-15,90862
2020-05-16,92060
2020-05-17,92891
2020-05-18,94110
2020-05-19,95555
2020-05-20,97056
2020-05-21,98246
2020-05-22,99450
2020-05-23,100524
2020-05-24,101165
2020-05-25,101762
2020-05-26,102418
2020-05-27,103896
2020-05-28,104985
2020-05-29,106102
2020-05-30,107053
2020-05-31,107674
2020-06-01,108448
2020-06-02,109428
2020-06-03,110437
2020-06-04,111443
2020-06-05,112321
2020-06-06,112958
2020-06-07,113415
2020-06-08,113926
2020-06-09,114840
2020-06-10,115715
2020-06-11,116532
2020-06-12,117357
2020-06-13,118077
2020-06-14,118425
2020-06-15,118826
2020-06-16,119612
2020-06-17,120359
2020-06-18,121059
2020-06-19,121693
2020-06-20,122257
2020-06-21,122574
2020-06-22,122952
2020-06-23,123691
2020-06-24,124446
2020-06-25,124994
2020-06-26,125620
2020-06-27,126116
2020-06-28,126437
2020-06-29,126806
2020-06-30,127365
2020-07-01,128063
2020-07-02,128802
2020-07-03,129479
2020-07-04,129781
2020-07-05,130104
2020-07-06,130475
2020-07-07,131616
2020-07-08,132457
2020-07-09,133488
2020-07-10,134304
2020-07-11,135058
2020-07-12,135531
2020-07-13,135966
2020-07-14,136862
2020-07-15,137827
2020-07-16,138788
2020-07-17,139703
2020-07-18,140585
2020-07-19,141061
2020-07-20,141590
2020-07-21,142686
2020-07-22,143911
2020-07-23,144997
2020-07-24,146091
2020-07-25,147060
2020-07-26,147594
2020-07-27,148694
2020-07-28,149916
2020-07-29,151356
2020-07-30,152645
2020-07-31,153828
2020-08-01,154947
2020-08-02,155404
2020-08-03,155963
2020-08-04,157218
2020-08-05,158626
2020-08-06,159807
2020-08-07,161098
2020-08-08,162185
2020-08-09,162757
2020-08-10,163274
2020-08-11,164371
2020-08-12,165886
2020-08-13,166924
2020-08-14,168233
2020-08-15,169278
2020-08-16,169886
2020-08-17,170355
2020-08-18,171580
2020-08-19,172865
2020-08-20,173972
2020-08-21,175073
2020-08-22,176052
2020-08-23,176547
2020-08-24,176989
2020-08-25,178223
2020-08-26,179401
2020-08-27,180516
2020-08-28,181457
2020-08-29,182440
2020-08-30,182889
2020-08-31,183383
2020-09-01,184444
2020-09-02,185496
2020-09-03,186527
2020-09-04,187506
2020-09-05,188326
2020-09-06,188766
2020-09-07,189086
2020-09-08,189554
2020-09-09,190659
2020-09-10,191583
2020-09-11,192739
2020-09-12,193488
2020-09-13,193888
2020-09-14,194311
2020-09-15,195513
2020-09-16,196468
2020-09-17,197334
2020-09-18,198294
2020-09-19,199005
2020-09-20,199275
2020-09-21,199688
2020-09-22,200723
2020-09-23,201786
2020-09-24,202693
2020-09-25,203610
2020-09-26,204393
2020-09-27,204705
2020-09-28,205046
2020-09-29,205948
2020-09-30,206880
2020-10-01,207796
2020-10-02,208637
2020-10-03,209323
2020-10-04,209692
2020-10-05,210174
2020-10-06,210875
2020-10-07,211794
2020-10-08,212776
2020-10-09,213749
2020-10-10,214409
2020-10-11,214876
2020-10-12,215274
2020-10-13,216051
2020-10-14,217050
2020-10-15,217895
2020-10-16,218838
2020-10-17,219658
2020-10-18,220121
2020-10-19,220611
2020-10-20,221548
2020-10-21,222722
2020-10-22,223579
2020-10-23,224529
2020-10-24,225492
2020-10-25,225950
2020-10-26,226472
2020-10-27,227483
2020-10-28,228517
2020-10-29,229520
2020-10-30,230584
2020-10-31,231515
2020-11-01,232018
2020-11-02,232575
2020-11-03,234172
2020-11-04,235292
2020-11-05,236457
2020-11-06,237671
2020-11-07,238788
2020-11-08,239351
2020-11-09,240110
2020-11-10,241526
2020-11-11,242969
2020-11-12,244173
2020-11-13,245373
2020-11-14,246746
2020-11-15,247534
2020-11-16,248348
2020-11-17,250057
2020-11-18,251999
2020-11-19,254041
2020-11-20,255990
2020-11-21,257628
2020-11-22,258689
2020-11-23,259762
2020-11-24,261900
2020-11-25,264151
2020-11-26,265554
2020-11-27,267106
2020-11-28,268464
2020-11-29,269515
2020-11-30,270827
2020-12-01,273379
2020-12-02,276209
2020-12-03,279178
2020-12-04,281790
2020-12-05,284180
2020-12-06,285583
2020-12-07,287142
2020-12-08,289725
2020-12-09,292906
2020-12-10,295892
2020-12-11,299273
2020-12-12,301806
2020-12-13,303465
2020-12-14,305114
2020-12-15,308101
2020-12-16,311834
2020-12-17,315284
2020-12-18,318226
2020-12-19,321037
2020-12-20,322749
2020-12-21,324546
2020-12-22,327844
2020-12-23,331223
2020-12-24,334145
2020-12-25,335655
2020-12-26,337563
2020-12-27,339001
2020-12-28,340878
2020-12-29,344494
2020-12-30,348427
2020-12-31,351754
2021-01-01,353996
2021-01-02,356547
2021-01-03,357984
2021-01-04,359964
2021-01-05,363568
2021-01-06,367494
2021-01-07,371520
2021-01-08,375709
2021-01-09,378965
2021-01-10,381069
2021-01-11,382906
2021-01-12,387295
2021-01-13,391313
2021-01-14,395105
2021-01-15,398917
2021-01-16,402494
2021-01-17,404485
2021-01-18,406050
2021-01-19,408450
2021-01-20,412893
2021-01-21,417030
2021-01-22,420807
2021-01-23,424363
2021-01-24,426221
2021-01-25,427991
2021-01-26,431973
2021-01-27,436101
2021-01-28,439951
2021-01-29,443550
2021-01-30,446451
2021-01-31,448408
2021-02-01,450185
2021-02-02,453718
2021-02-03,457635
2021-02-04,461519
2021-02-05,465193
2021-02-06,467930
2021-02-07,469407
2021-02-08,470858
2021-02-09,473923
2021-02-10,477330
2021-02-11,480521
2021-02-12,483405
2021-02-13,485701
2021-02-14,486899
2021-02-15,487848
2021-02-16,489492
2021-02-17,491938
2021-02-18,494545
2021-02-19,497080
2021-02-20,499013
2021-02-21,500240
2021-02-22,501441
2021-02-23,503717
2021-02-24,506981
2021-02-25,509411
2021-02-26,511566
2021-02-27,513088
2021-02-28,514195
2021-03-01,515514
2021-03-02,517447
2021-03-03,520028
2021-03-04,521980
2021-03-05,523703
2021-03-06,525234
2021-03-07,525945
2021-03-08,526650
2021-03-09,528434
2021-03-10,530006
2021-03-11,531580
2021-03-12,533011
2021-03-13,533996
2021-03-14,534528
2021-03-15,535240
2021-03-16,536501
2021-03-17,537718
2021-03-18,539366
2021-03-19,540412
2021-03-20,541189
2021-03-21,541944
2021-03-22,542507
2021-03-23,543462
2021-03-24,544956
2021-03-25,546330
2021-03-26,547503
2021-03-27,548328
2021-03-28,548791
2021-03-29,549424
2021-03-30,550331
2021-03-31,551433
2021-04-01,552551
2021-04-02,553453
2021-04-03,554224
2021-04-04,554534
2021-04-05,555015
2021-04-06,555849
2021-04-07,558455
2021-04-08,559481
2021-04-09,560390
2021-04-10,561122
2021-04-11,561410
2021-04-12,561855
2021-04-13,562735
2021-04-14,563670
2021-04-15,564574
2021-04-16,565441
2021-04-17,566151
2021-04-18,566497
2021-04-19,566984
2021-04-20,567831
2021-04-21,568723
2021-04-22,569661
2021-04-23,570415
2021-04-24,571179
2021-04-25,571479
2021-04-26,571953
2021-04-27,572626
2021-04-28,573630
2021-04-29,574515
2021-04-30,575321
2021-05-01,576065
2021-05-02,576387
2021-05-03,576865
2021-05-04,577776
2021-05-05,578594
2021-05-06,579415
2021-05-07,580231
2021-05-08,580866
2021-05-09,581124
2021-05-10,581519
